Age,Income_Usd,Temperature_C,Humidity_Pct,Latitude,Longitude,Height_Cm,Weight_Kg,Heart_Rate_Bpm,Systolic_Bp,Diastolic_Bp,Steps_Per_Day,Exam_Score,Price_Usd,Duration_Min,Gender,City,Device_Type,Membership_Level,Payment_Method,CGPA
60,1074356,40,38,-43.0,-145,-33.0,99,84.0,194,66,,8,2084.0,176.0, ,S2,S2,L1,M2,7.4
79,254416,-50,49,61.0,-88,65.0,120,56.0,164,108,6250.0,91,2905.0,164.0,Male,S1,S2,L1,M1,6.0
11,1616583,26,84,86.0,-101,148.0,34,187.0,131,105,14053.0,4,4995.0,70.0,Male,S2,S1,L2,M2,4.4
18,875610,-31,11,-50.0,151,131.0,93,196.0,104,91,11227.0,18,1422.0,576.0,Male, ,S2,L1,M2,4.5
68,1129116,19,93,-31.0,-130,156.0,107,148.0,137,87,35900.0,20,919.0,355.0,Female,S2,S1,L2,M1,7.6
58,83865,33,NAN,25.0,-177,-32.0,108,53.0,161,50,31023.0, ,4046.0,237.0,Male,S2,S2,L1,M2,8.5
NAN,662141,43,95,-39.0,166,58.0,129,128.0,142,128,32240.0,64,94.0,,Male,S1,S1,L1,M2,1.5
49,1989392,1,42,11.0,-22,23.0,107,158.0,175,95,38290.0,13,4744.0,184.0,Male,S1,S1,L1,M2,0.8
76,1566583,-32,62,6.0,156,66.0,119,170.0,178,55,3474.0,62,2017.0,106.0,Male,S1,S1,,M1,3.2
42,938478,12,63,-30.0,-175,106.0,92,133.0,120,79,35800.0,20,1603.0,398.0,Female,S1,S2,L2,M1,6.1
95,1656570,-48,94,-45.0,-28,-91.0,102,123.0,165,47,1479.0,16,1787.0,451.0,Female,S2,S1,L2,M1,4.5
95,1070617,11,86,65.0,118,190.0,37,61.0, ,63,28252.0,59,1828.0,384.0,Female,S2,S1,L1,M2,4.7
48,1139147,11,54,49.0,82,-81.0,NAN,54.0,173,102,29883.0,68,3660.0,154.0,Male,S2,S1,L2,M2,4.6
73,875765,-46,32,-57.0,95,-5.0,57,44.0,180,57,24445.0,20,1489.0,352.0,Female,S1,S1,L2,M2,6.7
10,549424,-2,6,11.0,61,176.0,169,41.0,112,95,9248.0,20,1074.0,186.0,Female,S2,S1,L2,M2,5.4
59,1932514,-5,2,2.0,-26,93.0,160,163.0,115,55,11170.0,58,3517.0,217.0,Female,S1,S2,L2,M1,2.9
74,402635,31,63,52.0,-14,-22.0,99,, ,97,22755.0, ,3183.0,99.0,Female,S1,S1,L2,M1,4.3
16,NAN,27,41,53.0,-105,93.0,43,150.0,184,66,22576.0,12,,267.0,Male,S1,S2,L1,M2,1.8
87,879750,40,3,1.0,35,-79.0,152,175.0,138,104,5600.0,90,4821.0,384.0,Male,S2,S2,L2,M1,0.1
58,104841,-49,77,-20.0,-61,124.0,62,,195,96,15701.0,80,225.0,361.0,Female,S2,S2,,M2,2.1
32,317909,-11,76,60.0,13,-98.0,158,93.0,185,53,,97,2188.0,12.0,Female,S1,S2,L1,M2,1.9
75,383272,-27,22,82.0,-43,-111.0,73,53.0,142,85,1197.0,91,226.0,61.0,Female,S1,S2,L2,M1,9.9
NAN,NAN,30,94,29.0,-29,-50.0,116,145.0,97,63,6353.0,20,4951.0,383.0,Male,S2,S1,L2,M2,8.6
56,928016,30,NAN,-47.0,167,168.0,180,94.0,176,119,26381.0,10,4139.0,493.0,Female,S2,S2,L2,M1,0.1
53,1817749,-3,26,0.0,57,60.0,88,175.0,96,75,24317.0,97,,326.0,Female,S2,S2,L1,M2,1.1
56,94357,45,18,80.0,-2,137.0,151,103.0,83,51,27115.0,89,718.0,280.0,Male,S2,S2,L1, ,8.7
47,1048899,13,88,8.0, ,144.0,174,145.0,90,88,7602.0,54,1036.0,569.0,Female,S2,S2,L2,M1,9.8
59,344586,40,20,69.0,-41,27.0,179,43.0,195,98,7834.0, ,2878.0,267.0,Female,S1,S2,L1,M1,6.7
22,1874001,5,88,-68.0,101,-19.0,139,124.0,108,78,16352.0,77,4610.0,383.0,Female,S1,S2,L2,M2,0.1
35,441647,16,25,66.0,-152,176.0,164,129.0,151,NAN,13726.0,2,1617.0,217.0,Male,S1,S1,L1,M2,1.4
12,1255491,2,15,-25.0,-114,34.0,148,81.0,105,NAN,11298.0,39,4954.0,582.0,Male,S1,S2,L2,M1,1.6
38,1251733,NAN,73,18.0,-122,-103.0,NAN,140.0, ,100,25550.0,10,305.0,320.0,Female,S1,S1,L1,M2,5.2
35,1766681,-10,17,38.0,-15,-26.0,109,195.0, ,129,15885.0, ,,,Male,S1,S1,L2,M2,4.4
90,1290568,48,21,-10.0,42,144.0,117,47.0,149,45,1117.0,15,3065.0,202.0,Male,S1,S2,L1,M2,7.3
24,1222771,-26,22,87.0,176,178.0,150,182.0,110,56,2295.0,24,,597.0,Female,S2,S2,L1,M1,7.6
42,1523918,NAN,65,36.0,-119,-43.0,41,156.0,112,51,4605.0,73,1561.0,282.0,Female,S2,S1,L2,M1,1.4
14,1139877,17,3,-3.0,118,-19.0,40,96.0,142,108,32752.0,77,1969.0,68.0,Female,S2,S2,L2,M2,0.6
48,239722,NAN,10,25.0,-88,-70.0,176,158.0,97,57,30562.0,80,2748.0,90.0,Male,S2,S2,L1,M1,3.9
NAN,492640,22,62,-35.0,-119,102.0,NAN,152.0,80,69,7151.0,45,1771.0,580.0,Female,S2,S1,L2,M2,5.4
88,394155,-21,45,20.0,-78,98.0,165,46.0,94,106,6832.0,88,3534.0,178.0,Female,S2,S2,L2,M1,3.3
77,1459368,7,90,79.0,-57,184.0,109,89.0,111,110,29726.0,64,4943.0,317.0,Female,S2,S2,L2,M1,1.1
99,508508,25,46,46.0,-35,-117.0,143,102.0,146,48,27213.0,0,2536.0,178.0,Female,S2,NAN,L1,M2,9.2
NAN,245936,-47,21,-21.0,-163,-65.0,104,63.0,110,111,39222.0,10,2823.0,6.0,Female,S2,S2,L1,M1,9.3
27,1111761,10,42,-85.0,-48,81.0,120,179.0,115,105,25952.0,93,3646.0,594.0,Male,S2,S2,L2,M1,2.8
62,1727524,-37,9,29.0,4,208.0,NAN,83.0,100,123,2353.0,9,4855.0,326.0,Male,S1,S2,L2,M2,4.9
87,1488516,-47,18,59.0,-151,-33.0,70,95.0,165,81,17594.0,24,766.0,282.0,Male,S2,S2,L1,M1,1.7
30,1640123,-22,91,76.0,172,121.0,125,149.0,87,106,,41,1420.0,66.0,Male,S2,S2,L1,M2,7.5
80,784764,NAN,69,52.0,-32,185.0,76,138.0,125,58,30491.0,73,4030.0,397.0, ,S1,S2,L2,M2,7.6
12,1072784,6,NAN,-62.0,141,19.0,77,160.0,96,93,,2,1241.0,22.0,Male,S2,S2,L2,M2,0.8
19,823361,-22,59,3.0,-150,-117.0,NAN,88.0,174,110,26063.0,48,4850.0,222.0,Female,S1,S2,L2,M2,0.6
77,1297935,15,NAN,42.0,68,30.0,168,106.0,113,120,39076.0,15,2693.0,292.0,Female,S2,S1,L2,M1,7.9
39,1928376,6,5,-13.0,-86,-104.0,63,54.0,198,107,35739.0,91,1184.0,276.0,Male,S2,S1,L1,M1,2.3
56,535415,35,15,37.0,73,119.0,55,200.0,85,45,5461.0, ,1102.0,565.0,Female,S2,S2,L2,M2,4.5
33,486884,-34,95,-11.0,84,-107.0,79,89.0,171,62,27232.0,39,77.0,555.0,Male,S2,S2,L2,M2,9.9
27,716434,21,95,38.0, ,173.0,144,,106,NAN,31592.0, ,584.0,436.0,Male,S2,S2,L2,M2,0.0
25,1641716,2,16,17.0,159,148.0,68,130.0,156,114,4374.0,80,111.0,198.0,Female,S1,S2,L2,M2,0.9
76,1293656,-32,61,11.0,61,156.0,NAN,170.0,147,50,29578.0,48,4259.0,159.0,Male,S1,S2,L2,M2,5.7
94,358732,-18,31,33.0,23,-57.0,53,127.0,164,127,8007.0,68,123.0,216.0,Female,S1,S2,L2,M1,4.9
39,819228,-1,21,-45.0,-118,-20.0,37,184.0,122,103,29716.0,38,3146.0,471.0,Male,S2,S2,L1,M2,1.4
23,NAN,-44,32,-12.0,44,-5.0,41,145.0,172,47,1564.0, ,1059.0,539.0,Female,S2,S1,L2,M2,7.3
92,1615110,-30,46,11.0,-13,-4.0,108,151.0,152,84,16111.0,76,1411.0,18.0,Male,S2,S1,L1,M2,8.2
56,1206896,-33,65,-50.0,145,-75.0,165,175.0, ,119,5758.0,99,2611.0,217.0, ,S1,S1,L2, ,7.7
34,NAN,38,16,52.0,-57,-93.0,166,133.0,94,130,36950.0,57,190.0,342.0,Female,S2,S2,L1,M1,8.0
88,571417,-35,92,-62.0,-33,172.0,136,178.0,96,97,307.0,35,1230.0,138.0,Female,S1,S1,L1,M1,7.1
70,132656,-36,6,-33.0,-120,-53.0,55,72.0,144,117,2564.0,65,4747.0,284.0,Male,S1,S1,L1,M2,9.2
47,1384672,-20,63,-6.0,-135,122.0,164,200.0,96,96,,3,2264.0,,Male,S2,S1,L2,M2,5.8
49,286001,-21,37,18.0,-37,9.0,176,146.0,94,83,39422.0,64,1204.0,592.0,Female,S2,S1,L2,M2,5.8
75,255491,30,17,-8.0,127,44.0,114,,113,89,37845.0,24,2391.0,159.0,Female,S2,S2,L2,M2,9.4
96,1040873,-40,54,-22.0,-87,23.0,47,153.0,136,42,19712.0,46,2429.0,3.0,Male,S2,NAN,L2,M1,7.7
95,59237,44,39,,16,75.0,147,127.0,124,42,1231.0, ,1883.0,405.0,Male,S2,S2,L2,M2,1.9
48,1487234,20,27,-39.0,9,157.0,50,163.0,141,109,7478.0,95,3976.0,44.0,Female, ,S1,L1,M2,7.5
40,386686,-17,30,-82.0,-28,-30.0,155,119.0,185,105,,2,4434.0,500.0,Male,S1,S2,L2,M2,7.1
70,993550,22,75,-28.0,-49,-116.0,141,,84,84,34012.0,59,452.0,543.0,Female,S2,S2,L2,M2,2.8
33,1503366,-22,53,47.0,119,154.0,46,49.0,190,43,18853.0,0,4488.0,486.0,Female,S2,S2,L2,M2,0.3
NAN,402695,-1,100,8.0,180,88.0,143,111.0,81,48,24289.0,25,3433.0,500.0,Female,S2,S2,L2,M2,5.7
31,535727,10,46,-60.0,36,95.0,124,96.0,173,61,37623.0,70,3955.0,535.0,Female,S2,S2,L2,M2,8.1
60,692073,36,NAN,-31.0,-79,123.0,74,93.0,158,NAN,1162.0,96,2245.0,50.0,Male,S2,S2,L1,M1,3.1
85,764764,22,87,-38.0, ,114.0,120,43.0,193,44,29212.0,100,285.0,121.0,Female,S1,S2,L1,M1,6.6
97,615197,34,90,0.0,11,-52.0,NAN,94.0,182,85,28792.0,52,4558.0,449.0,Female,S2,S2,L2,M1,9.2
47,558114,-11,48,-64.0,-134,74.0,85,131.0,169,79,17610.0,89,815.0,305.0,Female,S2,S1,L1,M2,0.5
34,531537,-11,32,90.0,101,40.0,33,175.0,132,104,1527.0,77,2734.0,516.0,Female,S1,S1,L1,M2,8.1
NAN,1952834,-47,44,-7.0,-97,99.0,152,200.0,119,101,15095.0,84,3007.0,84.0,Male,S2,S2,L1,M2,3.4
98,708357,21,15,-25.0,117,175.0,33,190.0,137,84,24501.0,40,3161.0,517.0,Female,S2,S1,L1,M1,1.4
90,1784213,39,87,-50.0,-19,31.0,151,102.0,120,92,,70,2578.0,314.0,Female,S2,S2,L1, ,1.3
63,552235,-2,NAN,-28.0,71,-70.0,153,130.0,169,100,2549.0,8,1358.0,268.0,Female,S1,S1,L2,M1,6.0
66,1926228,-6,99,-15.0,83,112.0,40,185.0,116,44,31488.0,85,,266.0,Female,S2,S2,L2,M2,3.6
20,468567,NAN,35,6.0,9,-106.0,68,123.0,113,93,,47,3755.0,547.0,Male,S2,S2,L2,M2,5.9
25,979558,18,28,34.0,-144,-67.0,34,157.0,138,40,11053.0,19,539.0,110.0,Female,S2,S1,L2,M2,2.8
78,1787325,-50,42,-8.0,-10,8.0,53,119.0,141,70,,88,4629.0,448.0,Male,S2,S2,L1,M1,6.6
13,1153562,-44,91,-37.0,-64,-70.0,94,121.0,186,70,9362.0,61,4020.0,340.0,Male,S2,S1,L1,M1,7.0
NAN,954851,19,43,23.0,116,46.0,152,157.0,159,110,18279.0,10,2816.0,90.0,Female,S2,S2,L2,M2,6.5
46,22552,36,69,-21.0,129,166.0,66,64.0,193,107,,32,2635.0,303.0,Male,S1,S2,L2,M1,4.1
37,1101905,17,21,-35.0,-122,169.0,142,111.0,120,120,14081.0,71,3299.0,74.0,Female,S2,S2,L2,M2,7.3
38,44223,NAN,15,46.0, ,74.0,175,,181,102,32417.0,8,209.0,276.0,Male,S2,S2,L2,M2,0.3
35,180104,-22,64,-53.0,79,-85.0,135,186.0,96,58,36533.0,14,2259.0,323.0,Male,S2,S2,,M2,8.4
64,1697223,48,52,-56.0,100,172.0,155,125.0,134,60,35180.0,20,460.0,446.0,Male,S1,S2,L2,M2,2.2
42,826381,-44,64,78.0,-15,-6.0,57,111.0,97,112,1742.0,87,1446.0,140.0,Female,S1,S1,L1,M1,2.8
57,962705,-33,1,81.0,-125,,NAN,76.0,157,97,29923.0,56,1825.0,275.0,Female,S2,S1,L1,M2,5.8
46,1360106,-40,69,-40.0,-74,142.0,NAN,116.0,108,49,8657.0,100,4895.0,50.0,Male,S1,S2,L1,M1,6.0
19,811811,11,35,-28.0,49,-95.0,31,160.0,121,117,1721.0,55,2561.0,,Female,S1,S2,L2,M2,6.3
91,1764978,-46,96,26.0,129,,69,122.0,198,64,13765.0,17,2532.0,295.0,Male,S2,S1,L1,M2,9.7
16,212137,14,93,5.0,45,154.0,150,143.0,180,107,1377.0,51,2944.0,300.0,Male,S1,S2,L2,M1,4.4
19,1485908,-7,84,78.0,-157,35.0,85,86.0,102,47,14742.0,19,2081.0,423.0,Female,S1,NAN,L2,M1,6.3
96,360110,-5,94,-44.0,-104,196.0,32,73.0,151,NAN,31019.0,92,677.0,122.0,Female,S2,S1,L2,M2,6.4
63,392414,18,87,15.0,-117,93.0,131,60.0,142,116,16632.0,57,2590.0,279.0,Male,S2,S1,L1,M2,5.3
88,317269,31,32,-54.0,56,183.0,144,136.0,82,64,38554.0, ,1154.0,161.0,Male,S2,S1,L1,M2,4.3
28,1287238,30,79,90.0,73,193.0,35,186.0,149,90,15549.0,17,2305.0,10.0,Female,S1,S2,L1,M2,1.5
19,658889,28,96,-88.0,-170,124.0,163,79.0,182,49,6309.0,9,4523.0,53.0,Female,S1,S1,L1,M2,4.3
67,153684,NAN,35,-36.0,67,-119.0,57,73.0,162,44,3101.0,21,3210.0,263.0,Male,S1,S1,L1,M1,3.5
71,695823,-32,NAN,-15.0,-132,50.0,NAN,64.0,143,92,4936.0, ,3655.0,489.0,Female,S1,S1,L2,M1,2.0
42,628840,-37,79,-15.0,71,30.0,115,103.0,187,119,39447.0,92,709.0,235.0,Male,S2,S2,L2,M2,7.8
56,1304877,13,8,-82.0,177,110.0,142,144.0,162,74,9871.0,27,3111.0,521.0,Male,S2,S1,L1,M2,7.4
70,1113328,30,NAN,-2.0,22,-84.0,164,174.0,136,70,30616.0,34,1294.0,360.0,Male,S2,S1,L2,M1,2.3
93,442237,-12,74,69.0,-63,92.0,58,169.0,169,71,2229.0, ,1214.0,401.0,Female,S1,NAN,L2,M2,4.4
45,213444,-3,62,22.0,-127,-3.0,42,115.0,87,45,6916.0,71,4195.0,107.0,Male, ,S2,L2,M1,1.2
95,1377019,-10,48,-79.0,4,169.0,164,63.0,113,117,32027.0,3,4785.0,31.0,Female,S1,S2,L2,M2,3.3
98,1788053,-30,35,,-3,43.0,166,, ,113,38101.0,19,394.0,332.0,Male,S2,S1,L2,M1,6.8
78,550485,-38,17,-18.0,-168,197.0,81,64.0,113,59,26923.0,68,2394.0,271.0,Female,S1,S1,L2,M1,1.7
20,799001,-34,98,32.0,67,-70.0,52,188.0,156,118,38003.0,8,4422.0,332.0,Male,S1,S2,L2,M1,9.5
75,1107366,24,NAN,-30.0,155,0.0,152,104.0,97,96,33061.0,39,4776.0,231.0,Male,S2,S2,L2,M1,7.6
30,885098,2,56,-68.0,164,,71,177.0,138,118,31436.0, ,4572.0,391.0,Female,S1,S1,L2,M2,7.3
NAN,1949921,25,27,-73.0,32,,150,,198,105,9535.0,22,2879.0,85.0,Male,S2,S2,L1,M2,5.5
58,218571,-15,74,-23.0, ,3.0,116,113.0,97,118,33499.0, ,4338.0,144.0,Female,S2,S1,L2,M2,6.4
70,988719,-5,14,3.0,158,109.0,126,134.0,99,96,19146.0,58,197.0,441.0,Male,S1,S2,L2,M2,1.0
54,651449,-38,12,-32.0,73,-75.0,NAN,188.0,114,83,27173.0,54,3723.0,259.0,Male,S2,S1,L1,M2,8.4
55,389207,-6,13,-65.0,-129,-100.0,101,198.0,176,75,16797.0,16,2283.0,494.0,Female,S1,S2,L2,M1,4.3
14,NAN,-4,14,51.0,-81,20.0,173,45.0,163,106,30398.0,44,3914.0,134.0,Male,S2,S2,L2,M1,9.4
98,1229131,35,53,-28.0,-18,54.0,153,,118,124,12739.0,84,4073.0,389.0,Female,S1,S2,L2,M2,1.8
44,92124,-15,21,75.0,-79,19.0,110,63.0,121,113,10835.0,64,4557.0,480.0,Male,S2,S2,L2,M1,5.5
14,743749,-4,35,-55.0,-54,1.0,113,155.0,83,74,24619.0,78,2497.0,,Male,S1,S1,L1,M2,3.2
43,318683,29,22,11.0,-61,69.0,123,,198,88,, ,2009.0,259.0,Male,S1,S2,L2,M2,9.4
76,1391376,25,4,82.0,71,-95.0,103,169.0,143,116,23395.0,33,1949.0,587.0,Female,S2,S2,L2,M1,5.6
40,760496,42,1,-11.0,-58,1.0,128,114.0,120,58,2309.0,49,1609.0,251.0,Male,S2,S2,L2,M1,9.9
90,1423376,-7,3,-36.0,121,120.0,94,107.0,188,130,4552.0,93,64.0,,Male,S2,S2,L2,M1,3.9
69,392869,-15,NAN,7.0,16,-89.0,38,106.0,116,50,28910.0,3,3374.0,540.0,Female,S1,S1,L1,M2,8.1
31,1682145,47,4,72.0,-91,,148,132.0,92,101,13009.0,81,3473.0,85.0,Male, ,S1,L2,M2,0.6
45,1081895,30,73,20.0,109,184.0,130,83.0, ,130,37320.0,43,,353.0,Female,S2,S2,L1,M1,5.8
24,1996056,-11,12,47.0,163,-71.0,109,,123,81,14678.0,8,4947.0,540.0,Female,S1,S2,L1,M2,0.4
54,530713,-12,93,15.0,141,,67,179.0,122,88,30362.0,36,3120.0,444.0,Male,S2,S2,L2,M1,7.3
73,181636,-49,94,10.0,-28,-81.0,104,59.0,166,57,19865.0, ,307.0,520.0,Male,S2,S1,L1, ,0.9
80,1469443,11,34,30.0,77,160.0,157,115.0,142,104,32880.0,91,4980.0,89.0,Female,S2,S2,L2,M2,9.5
65,NAN,-10,0,30.0,-139,-27.0,105,72.0, ,81,30267.0,86,3022.0,137.0,Female,S2,S2,L1,M2,1.5
84,968247,-40,18,63.0,139,-102.0,172,189.0,131,94,27296.0,35,2456.0,345.0,Female,S2,S2,L1,M2,8.5
22,141088,-33,61,-24.0,-132,-40.0,47,164.0,125,71,3565.0,70,2038.0,196.0,Male,S1,S1,L2,M2,4.5
24,790659,35,88,9.0,-116,-62.0,81,62.0,142,NAN,3496.0, ,1672.0,512.0,Male,S2,S2,L1,M2,7.1
74,1100875,8,55,-63.0,84,-99.0,35,130.0,167,50,28346.0,51,,356.0,Female,S2,S2,L1,M2,9.2
41,1811379,25,80,26.0,24,-120.0,120,79.0,129,47,2651.0,79,3563.0,384.0,Male,S1,S2,L1,M2,3.8
56,238658,-45,63,-13.0,-25,109.0,129,188.0,131,103,23782.0,73,3314.0,407.0,Female,S2,S2,L2,M1,5.3
49,875818,40,46,,107,-91.0,113,187.0,92,50,32853.0,4,1177.0,507.0,Male,S1,S1,L1,M1,8.0
74,NAN,-31,2,-46.0,37,-18.0,141,59.0,129,66,17320.0,19,4326.0,70.0,Male,S2,S2,L2,M1,2.0
21,1871421,1,71,6.0,66,,30,154.0,138,49,29077.0,81,3347.0,95.0,Female,S2,S2,L1,M1,9.8
31,1565845,25,35,,-165,-35.0,56,200.0,198,84,20994.0,82,2842.0,537.0,Male,S1,S2,L1,M1,3.5
